"Wert";"Besuchte Spielfelder"
1;276958
2;196008
3;51387
4;64854
5;73547
6;51444
7;70708
8;99797
9;55360
10;60454
11;105772
12;104621
13;72807
14;147480
15;110943
16;174234
17;168461
18;127185
19;136817
20;115556
21;27696
22;25267
23;52221
24;46442
25;35578
26;48138
27;52149
28;34886
29;53231
30;48873
31;38816
32;21572
33;23055
34;14671
35;16542
36;13946
37;14905
38;11174
39;20900
40;24047
41;19810
42;19773
43;19295
44;9117
45;20204
46;27921
47;27647
48;40506
49;63577
50;58585
51;41998
52;38842
53;43935
54;53464
55;56041
56;72525
57;67052
58;133147
59;194879
60;201907
61;178671
62;131619
63;197812
64;167683
65;157805
66;140013
67;232045
68;251185
69;281836
70;226508
71;205391
72;157730
73;174426
74;184465
75;181672
76;143910
77;143305
78;192996
79;192164
80;193270
81;179995
82;181126
83;169946
84;159838
85;150232
86;175251
87;190775
88;188502
89;213144
90;175466
91;203779
92;202023
93;189898
94;184017
95;201520
96;201093
97;207764
98;221161
99;235112
100;203881
101;135956
102;148186
103;185910
104;163949
105;185710
106;179637
107;188573
108;168617
109;119088
110;148194
111;105812
112;71463
113;71158
114;59189
115;72818
116;64473
117;87883
118;90108
119;76452
120;66477
121;64070
122;52790
123;64422
124;35306
125;32682
126;26248
127;26575
128;26799
129;32543
130;33568
131;38813
132;43805
133;36925
134;53793
135;31242
136;37299
137;31915
138;22072
139;24911
140;23346
141;19976
142;25008
143;14076
144;10572
145;7211
146;4813
147;3110
148;2990
149;2668
150;2485
151;3352
152;4109
153;3927
154;11540
155;6541
156;5940
157;11421
158;10799
159;11842
160;12653
161;11668
162;10712
163;15441
164;14548
165;9971
166;11022
167;8353
168;8502
169;11086
170;11484
171;12199
172;10463
173;13907
174;15169
175;13867
176;14178
177;14178
178;14171
179;12979
180;11427
181;18311
182;32554
183;25176
184;26598
185;28625
186;23937
187;19681
188;25344
189;29649
190;25415
191;24037
192;26396
193;18437
194;17194
195;14908
196;12515
197;9638
198;12402
199;9765
200;10494
201;7294
202;6223
203;2630
204;2228
205;1393
206;1712
207;1508
208;795
209;602
210;327
211;121
212;51
213;59
214;130
215;175
216;737
217;1525
218;992
219;1122
220;2188
221;2634
222;5135
223;5775
224;3628
225;1466
226;985
227;870
228;855
229;520
230;302
231;156
232;4
