"Wert";"Besuchte Spielfelder"
1;28971
2;4588
3;8980
4;1998
5;7362
6;2469
7;2369
8;1644
9;1388
10;2803
11;3286
12;4306
13;4018
14;2125
15;4313
16;4023
17;2760
18;2646
19;2240
20;1371
21;868
22;2257
23;1424
24;1119
25;1275
26;1921
27;2204
28;1218
29;1894
30;2220
31;1291
32;938
33;851
34;767
35;682
36;586
37;727
38;690
39;1639
40;1339
41;871
42;1218
43;976
44;871
45;1062
46;1042
47;1058
48;1531
49;1761
50;1515
51;1045
52;1398
53;1605
54;2355
55;1827
56;2186
57;2467
58;4811
59;6058
60;4445
61;2713
62;2679
63;4207
64;6009
65;3548
66;5869
67;2946
68;3793
69;2305
70;3582
71;4704
72;2497
73;5860
74;5497
75;4059
76;5364
77;2309
78;2172
79;4653
80;7478
81;5438
82;6749
83;3003
84;4581
85;3922
86;5679
87;4767
88;2151
89;3276
90;4081
91;4397
92;2769
93;2790
94;3372
95;4985
96;2820
97;3344
98;3071
99;3163
100;1839
101;3102
102;3392
103;3994
104;2610
105;3916
106;3059
107;2522
108;2769
109;1888
110;2149
111;1489
112;1852
113;1526
114;1302
115;1580
116;1958
117;2410
118;1926
119;2047
120;2106
121;1511
122;1433
123;1380
124;1634
125;1661
126;1297
127;1346
128;1648
129;1502
130;1644
131;1191
132;1667
133;1860
134;1757
135;1732
136;1360
137;1650
138;1171
139;1507
140;1086
141;742
142;599
143;643
144;675
145;649
146;663
147;650
148;613
149;858
150;594
151;741
152;681
153;654
154;736
155;677
156;685
157;299
158;642
159;539
160;482
161;480
162;699
163;702
164;758
165;547
166;361
167;329
168;430
169;448
170;494
171;801
172;670
173;645
174;490
175;783
176;1230
177;1143
178;794
179;562
180;1381
181;1229
182;1666
183;1105
184;1091
185;957
186;1175
187;1906
188;838
189;1299
190;1886
191;1029
192;863
193;1181
194;903
195;1060
196;837
197;821
198;974
199;1078
200;779
201;805
202;557
203;594
204;447
205;369
206;267
207;304
208;310
209;257
210;195
211;104
212;101
213;102
214;139
215;38
216;37
217;33
218;26
219;13
220;23
221;27
222;45
223;26
224;13
225;49
226;53
227;126
228;261
229;255
230;120
231;176
232;277
233;190
234;483
235;331
236;254
237;150
238;161
239;150
240;171
241;114
242;70
243;63
244;36
245;41
246;9
247;12
