"Wert";"Besuchte Spielfelder"
1;495
2;665
3;385
4;1422
5;1051
6;2234
7;1574
8;1061
9;1922
10;7060
11;2929
12;4004
13;6234
14;8667
15;4788
16;5709
17;6653
18;9290
19;6590
20;6518
21;9722
22;8627
23;3793
24;6849
25;9870
26;7911
27;11294
28;4169
29;5206
30;5045
31;2496
32;2619
33;4058
34;3661
35;4394
36;7060
37;4183
38;6504
39;3470
40;3683
41;2510
42;1845
43;1895
44;2039
45;1915
46;2176
47;2693
48;2368
49;2814
50;1542
51;1606
52;1402
53;1482
54;947
55;1124
56;821
57;1020
58;1226
59;863
60;863
61;595
62;653
63;688
64;1686
65;2679
66;1766
67;1438
68;2381
69;1856
70;1332
71;1988
72;2162
73;1803
74;1520
75;1745
76;2492
77;2397
78;4955
79;4344
80;2680
81;1746
82;2720
83;1881
84;2561
85;2542
86;3131
87;8229
88;4591
89;3908
90;5483
91;3643
92;8207
93;5812
94;5118
95;8406
96;9442
97;11447
98;4723
99;8780
100;9411
101;10129
102;10589
103;8749
104;4603
105;5136
106;2983
107;3264
108;3897
109;4306
110;2580
111;2323
112;2467
113;4451
114;3855
115;2745
116;3447
117;2980
118;2417
119;1943
120;1848
121;2064
122;2226
123;2169
124;1866
125;2430
126;3179
127;5051
128;3544
129;8200
130;35629
131;25845
132;8661
133;49135
134;97381
135;98879
136;111598
137;337457
138;501314
139;273702
140;242167
141;187628
142;321344
143;337868
144;285925
145;370645
146;507076
147;258218
148;531925
149;562309
150;887699
151;835022
152;837658
153;1549320
154;1011027
155;1054423
156;671487
157;931305
158;642170
159;675159
160;499813
161;316065
162;290939
163;193325
164;157877
165;238301
166;230969
167;135461
168;128425
169;90593
170;32732
171;82064
172;169712
173;67641
174;33698
175;34221
176;18195
177;5110
178;2809
179;2535
180;1861
181;974
182;769
183;544
184;328
185;268
186;148
187;101
188;89
189;35
190;10
