"Wert";"Besuchte Spielfelder"
1;1362
2;3773
3;5066
4;24462
5;18588
6;40902
7;67072
8;20166
9;43550
10;120398
11;129694
12;131877
13;153505
14;177768
15;144404
16;198227
17;242724
18;295439
19;190608
20;211115
21;288634
22;451458
23;502530
24;527463
25;533771
26;522607
27;427781
28;341712
29;415362
30;450387
31;277044
32;284304
33;246605
34;176210
35;180524
36;220103
37;302346
38;259955
39;213800
40;147477
41;111316
42;118951
43;51190
44;32912
45;34067
46;24875
47;14516
48;19668
49;13407
50;32887
51;29836
52;16805
53;24420
54;9881
55;13115
56;5848
57;6881
58;11879
59;8323
60;26132
61;10926
62;11264
63;11326
64;33186
65;63383
66;61526
67;61932
68;89785
69;56724
70;40928
71;44638
72;109790
73;124346
74;93860
75;125231
76;222795
77;274580
78;276384
79;239676
80;177565
81;176202
82;204533
83;175781
84;308878
85;194746
86;199980
87;396212
88;351026
89;264589
90;279840
91;185756
92;327537
93;329623
94;228384
95;306210
96;220940
97;212956
98;236705
99;173687
100;174670
101;174827
102;301256
103;245758
104;132130
105;149345
106;120495
107;188500
108;177515
109;162104
110;93225
111;45061
112;33122
113;43417
114;138632
115;75634
116;62565
117;51958
118;33289
119;27157
120;27167
121;22730
122;26418
123;26832
124;32603
125;25286
126;36124
127;45717
128;27766
129;54187
130;199654
131;157370
132;184924
133;442359
134;620411
135;716166
136;695193
137;1982486
138;2287091
139;1951865
140;1536288
141;1551115
142;1608831
143;1535938
144;1429378
145;1531402
146;2424377
147;1577520
148;2078732
149;2054650
150;3105898
151;2752472
152;2931429
153;4663306
154;3982686
155;3914088
156;3198201
157;4380374
158;2577471
159;2314648
160;1896895
161;1462401
162;1248633
163;1101088
164;929336
165;1612782
166;1352907
167;754353
168;715368
169;530646
170;337076
171;485841
172;653693
173;478718
174;337383
175;309147
176;251853
177;133022
178;52198
179;28402
180;17254
181;8673
182;6938
183;2581
184;1646
185;1338
186;805
187;558
188;473
189;243
190;40
