"Wert";"Besuchte Spielfelder"
1;385
2;942
3;1405
4;1734
5;2859
6;2333
7;5641
8;4798
9;6498
10;6415
11;7845
12;10973
13;11087
14;10905
15;9942
16;15610
17;13580
18;14444
19;16760
20;14212
21;17352
22;19841
23;22942
24;18683
25;21080
26;25182
27;24626
28;25856
29;26335
30;27724
31;29190
32;26166
33;26636
34;27467
35;30571
36;29021
37;29346
38;30853
39;35692
40;35065
41;35132
42;40776
43;46946
44;47065
45;41475
46;45763
47;52536
48;51949
49;55289
50;48609
51;54860
52;52074
53;52035
54;53116
55;54747
56;59592
57;56249
58;48478
59;49322
60;47556
61;53556
62;48942
63;54430
64;48255
65;52025
66;50141
67;61393
68;53130
69;54818
70;48299
71;41912
72;43159
73;37650
74;44516
75;43944
76;39733
77;36316
78;33340
79;27920
80;25599
81;23326
82;23418
83;22365
84;20855
85;22617
86;22501
87;22099
88;20617
89;21814
90;22749
91;20034
92;18075
93;20351
94;23570
95;26945
96;24940
97;30526
98;29506
99;25967
100;26171
101;22512
102;26145
103;34408
104;36565
105;37082
106;37401
107;35133
108;35013
109;32878
110;28349
111;25077
112;32176
113;29609
114;35846
115;36180
116;33199
117;31361
118;29858
119;34435
120;37229
121;39782
122;31030
123;31688
124;32570
125;33953
126;35160
127;37271
128;33472
129;31645
130;36133
131;27777
132;25211
133;28752
134;34621
135;43671
136;46445
137;42495
138;52384
139;46044
140;41042
141;42912
142;29656
143;26949
144;30553
145;36333
146;28280
147;33386
148;31758
149;26783
150;25387
151;21566
152;22015
153;21012
154;19211
155;21491
156;18830
157;20414
158;17243
159;17751
160;17475
161;16029
162;15724
163;16488
164;13823
165;11691
166;10278
167;8248
168;7052
169;5374
170;6009
171;7612
172;4650
173;4131
174;3578
175;2827
176;3021
177;3107
178;3722
179;3597
180;4643
181;5433
182;4956
183;4318
184;2663
185;6059
186;4847
187;6820
188;5568
189;6905
190;5076
191;8046
192;8252
193;7404
194;5545
195;4172
196;4300
197;3581
198;2724
199;3436
200;4825
201;6589
202;6729
203;6443
204;5131
205;4557
206;6554
207;5644
208;4710
209;13412
210;14174
211;4919
212;4904
213;4457
214;3074
215;3629
216;3499
217;3374
218;2393
219;3321
220;3179
221;2520
222;2512
223;2692
224;1492
225;1926
226;2247
227;2813
228;2890
229;2444
230;1752
231;1127
232;739
233;557
234;656
235;440
236;228
237;1076
238;1133
239;925
240;1266
241;793
242;1177
243;812
244;1057
245;1296
246;1392
247;2751
248;3760
249;4596
250;5064
251;6447
252;5535
253;5011
254;5006
255;3993
256;4630
257;5120
258;4875
259;4727
260;5168
261;7047
262;6308
263;6109
264;4296
265;5127
266;5002
267;3579
268;3431
269;3452
270;3613
271;2767
272;5003
273;3016
274;2889
275;3600
276;2790
277;2673
278;1907
279;1738
280;2050
281;1675
282;1296
283;966
284;725
285;819
286;978
287;686
288;480
289;459
290;432
291;305
292;192
293;253
294;125
295;52
296;102
297;30
298;51
299;27
300;23
301;17
302;4
