"Wert";"Besuchte Spielfelder"
1;343
2;342
3;502
4;309
5;1736
6;471
7;2321
8;457
9;796
10;833
11;1748
12;770
13;4198
14;2043
15;1821
16;1832
17;2412
18;2364
19;2218
20;1410
21;3713
22;1433
23;1109
24;5641
25;8720
26;3147
27;3942
28;4344
29;2588
30;5496
31;2628
32;3006
33;3561
34;5798
35;2243
36;3516
37;3197
38;4757
39;5335
40;8440
41;4640
42;9866
43;10770
44;32989
45;7102
46;7140
47;14390
48;9946
49;3626
50;8220
51;2860
52;1750
53;10473
54;6835
55;3650
56;6975
57;4205
58;9205
59;9154
60;2529
61;6718
62;3079
63;1964
64;9559
65;17666
66;9632
67;9381
68;1742
69;7735
70;6888
71;10501
72;7347
73;1697
74;11341
75;8246
76;11873
77;7833
78;5584
79;6492
80;5099
81;3918
82;2989
83;1500
84;7827
85;3813
86;5600
87;7547
88;4588
89;3414
90;3456
91;3322
92;2353
93;4098
94;5459
95;4003
96;4202
97;5452
98;2882
99;4238
100;1939
101;5797
102;7663
103;8115
104;9296
105;7516
106;5509
107;17929
108;4797
109;8392
110;9121
111;2146
112;7746
113;12493
114;9081
115;17260
116;3994
117;9034
118;7795
119;8069
120;14524
121;11171
122;8633
123;3979
124;7298
125;4442
126;9570
127;5128
128;6100
129;10104
130;2400
131;3903
132;8817
133;4632
134;4880
135;4220
136;8143
137;8292
138;4797
139;7138
140;3672
141;4584
142;2415
143;11008
144;8199
145;8078
146;4450
147;6572
148;12416
149;11470
150;8978
151;3437
152;7732
153;1795
154;4855
155;7224
156;5623
157;3461
158;5820
159;4589
160;4892
161;4775
162;7626
163;3436
164;3152
165;2873
166;2537
167;4996
168;1355
169;1968
170;1689
171;1110
172;812
173;1222
174;2003
175;540
176;897
177;579
178;1360
179;667
180;811
181;288
182;942
183;608
184;1112
185;741
186;954
187;2257
188;1708
189;1305
190;1052
191;1773
192;1246
193;773
194;2421
195;1786
196;2321
197;3048
198;1504
199;3289
200;2715
201;1573
202;3565
203;3239
204;2626
205;3277
206;1232
207;2589
208;1813
209;4246
210;2495
211;3103
212;2397
213;2721
214;2658
215;1772
216;3148
217;1875
218;3394
219;3299
220;2592
221;1529
222;1441
223;1100
224;308
225;993
226;994
227;525
228;78
229;154
230;46
231;15
232;10
233;21
234;24
235;13
236;4
237;4
238;73
239;148
240;193
241;238
242;227
243;564
244;352
245;489
246;430
247;534
248;726
249;1311
250;806
251;477
252;595
253;367
254;595
255;568
256;525
257;936
258;674
259;946
260;640
261;875
262;1128
263;653
264;641
265;314
266;432
267;747
268;464
269;481
270;350
271;388
272;395
273;400
274;1112
275;561
276;661
277;387
278;289
279;261
280;517
281;438
282;237
283;483
284;471
285;445
286;220
287;360
288;337
289;290
290;333
291;232
292;125
293;68
294;121
295;55
296;42
297;93
298;109
299;94
300;117
301;146
302;162
303;87
304;169
305;171
306;128
307;147
308;114
309;103
310;74
311;142
312;84
313;122
314;45
315;46
316;67
317;24
