"Wert";"Besuchte Spielfelder"
1;68
2;87
3;215
4;440
5;441
6;748
7;941
8;1046
9;1549
10;1485
11;1798
12;1506
13;1782
14;1614
15;2047
16;1418
17;2085
18;2648
19;2392
20;2148
21;2432
22;2102
23;2337
24;1720
25;1521
26;1474
27;1221
28;1182
29;912
30;1193
31;910
32;1284
33;1839
34;817
35;2228
36;1108
37;1190
38;1633
39;1195
40;2235
41;4138
42;2148
43;2634
44;2739
45;2606
46;2154
47;2651
48;2081
49;1442
50;1345
51;1143
52;1059
53;922
54;796
55;768
56;1063
57;670
58;557
59;441
60;312
61;170
62;68
63;384
64;811
65;832
66;722
67;743
68;441
69;452
70;310
71;507
72;315
73;310
74;218
75;147
76;240
77;218
78;201
79;156
80;731
81;598
82;1916
83;906
84;1372
85;1046
86;1034
87;529
88;642
89;517
90;947
91;657
92;1005
93;1213
94;1929
95;2612
96;1622
97;1097
98;1457
99;1236
100;1250
101;966
102;2850
103;1428
104;2064
105;1269
106;2646
107;2756
108;2550
109;3573
110;2987
111;3887
112;5089
113;6135
114;8015
115;7388
116;9189
117;10124
118;9700
119;10301
120;10238
121;8903
122;7673
123;7130
124;7814
125;8883
126;9387
127;9369
128;6643
129;6397
130;5086
131;5450
132;5410
133;5233
134;5857
135;5798
136;6032
137;5514
138;5447
139;5492
140;4208
141;4688
142;5080
143;4455
144;5569
145;6651
146;7792
147;9023
148;12977
149;12119
150;12947
151;11805
152;12932
153;12011
154;13691
155;13856
156;11645
157;12219
158;12159
159;11057
160;8625
161;7879
162;6772
163;5776
164;5877
165;6345
166;5154
167;5858
168;6109
169;7651
170;9283
171;9679
172;7353
173;7788
174;6770
175;7128
176;5195
177;4895
178;4874
179;3564
180;2990
181;1962
182;2182
183;2013
184;1336
185;1119
186;1153
187;1258
188;899
189;874
190;974
191;523
192;555
193;379
194;494
195;483
196;467
197;470
198;435
199;293
200;440
201;318
202;229
203;612
204;598
205;322
206;423
207;559
208;1075
209;953
210;682
211;669
212;715
213;565
214;348
215;489
216;282
217;244
218;351
219;213
220;144
221;81
222;35
223;12
224;4
