"Wert";"Besuchte Spielfelder"
1;34
2;72
3;141
4;361
5;914
6;646
7;627
8;449
9;1176
10;771
11;401
12;703
13;749
14;832
15;732
16;949
17;578
18;286
19;794
20;569
21;647
22;1241
23;763
24;730
25;737
26;746
27;684
28;657
29;903
30;527
31;576
32;567
33;541
34;677
35;803
36;898
37;965
38;847
39;706
40;1121
41;824
42;803
43;1098
44;988
45;850
46;862
47;647
48;434
49;365
50;283
51;190
52;309
53;557
54;418
55;326
56;330
57;242
58;230
59;487
60;428
61;145
62;64
63;69
64;153
65;484
66;700
67;611
68;691
69;312
70;353
71;282
72;362
73;355
74;427
75;321
76;176
77;188
78;276
79;252
80;202
81;518
82;476
83;861
84;501
85;809
86;792
87;820
88;577
89;607
90;508
91;1442
92;1043
93;1574
94;1458
95;2807
96;3001
97;1829
98;2793
99;1496
100;1389
101;753
102;735
103;1087
104;1262
105;3022
106;3672
107;1911
108;2166
109;1553
110;2149
111;5127
112;5728
113;5092
114;4407
115;6000
116;5402
117;6421
118;7168
119;6067
120;8370
121;8051
122;6744
123;4909
124;4694
125;5654
126;4949
127;5585
128;1704
129;4987
130;5079
131;3100
132;3673
133;6724
134;5403
135;4811
136;4338
137;3811
138;3627
139;2629
140;2195
141;2920
142;979
143;2923
144;2970
145;3273
146;3788
147;3894
148;4042
149;3631
150;3198
151;3168
152;2755
153;2164
154;3231
155;1336
156;3055
157;2668
158;1536
159;1310
160;1226
161;773
162;1479
163;510
164;427
165;1135
166;375
167;1315
168;510
169;528
170;928
171;1263
172;1062
173;2131
174;1659
175;1523
176;2236
177;1308
178;1031
179;1076
180;1291
181;644
182;1092
183;1074
184;1200
185;769
186;555
187;929
188;838
189;1225
190;1047
191;1109
192;1039
193;824
194;478
195;494
196;613
197;432
198;436
199;532
200;359
201;287
202;256
203;224
204;492
205;967
206;360
207;380
208;313
209;444
210;306
211;293
212;272
213;334
214;180
215;98
216;156
217;114
218;136
219;225
220;118
221;93
222;58
223;54
224;26
225;8
226;7
227;4
